path	prompt	old_hash	hash_a	hash_b	action	metadata_canonical	class	decision
01_core/src/entities/state_registry.rs	00_nucleo/prompts/entities/state_registry.md	7e57260f	905ee5ee	3223be16	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/state_update.rs	00_nucleo/prompts/entities/state_update.md	20b8aac6	2b68a2a3	80cd95bb	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/style.rs	00_nucleo/prompts/entities/style.md	ff5a32c7	d96ffba2	95f76ecc	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/style_chain.rs	00_nucleo/prompts/entities/style_chain.md	09cb9de2	46ec8cf7	2daa3854	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/symbol.rs	00_nucleo/prompts/entities/symbol.md	45feb053	b73d3175	5a1c3363	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/syntax_kind.rs	00_nucleo/prompts/entities/syntax-kind.md	6b2cd63a	1b41a73f	e09abaaf	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/syntax_mode.rs	00_nucleo/prompts/entities/syntax-mode.md	ba9fbdd4	0f54f077	e68e45ff	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/syntax_node.rs	00_nucleo/prompts/entities/syntax-node.md	6da306bf	58836fbf	66771d34	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/syntax_set.rs	00_nucleo/prompts/entities/syntax-set.md	c590700e	cac9782f	b6fda3c6	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/syntax_text.rs	00_nucleo/prompts/entities/syntax-text.md	a44d799d	7a9a8b09	53751ece	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/tag.rs	00_nucleo/prompts/entities/tag.md	2ab49904	d66140f9	d7d73492	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/tiling.rs	00_nucleo/prompts/entities/tiling.md	0be2a517	5c8c3e31	8fb9a293	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/value.rs	00_nucleo/prompts/entities/value.md	e651fc27	4d161fd5	e5c3ef0f	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/version.rs	00_nucleo/prompts/entities/version.md	5dafd786	95679b35	1e86df0e	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/entities/world_types.rs	00_nucleo/prompts/world-types.md	41d105a5	7119f2ea	8f032246	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/lib.rs	00_nucleo/prompts/core.md	3a4fa3da	b125c37c	3b01fcdf	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/testing/math_oracle.rs	00_nucleo/prompts/testing/math_oracle.md	65fb74eb	7edd1cbc	65c64f45	would_fix	yes	shared_prompt	blocked_multi_consumer
01_core/src/testing/mod.rs	00_nucleo/prompts/testing/math_oracle.md	65fb74eb	7edd1cbc	b9cb23ff	would_fix	yes	shared_prompt	blocked_multi_consumer
01_core/src/utils.rs	00_nucleo/prompts/compiler/utils.md	113e0000	6c0dd704	b6143520	would_fix	yes	single_consumer	candidate_after_linter_fix
02_shell/build.rs	00_nucleo/prompts/shell/cli.md	a812dea7	4ec58e1f	8cbf4ebb	would_fix	yes	shared_prompt	blocked_multi_consumer
02_shell/src/cli.rs	00_nucleo/prompts/shell/cli.md	a812dea7	4ec58e1f	00d53433	would_fix	yes	shared_prompt	blocked_multi_consumer
02_shell/src/completions.rs	00_nucleo/prompts/shell/completions.md	e7265331	02938678	be42ff66	would_fix	yes	single_consumer	candidate_after_linter_fix
02_shell/src/diagnostic.rs	00_nucleo/prompts/shell/diagnostic.md	92ea4e96	e0a11b78	0096c215	would_fix	yes	single_consumer	candidate_after_linter_fix
02_shell/src/fonts.rs	00_nucleo/prompts/shell/fonts-command.md	95edd126	40b7a47a	7c6204a0	would_fix	yes	single_consumer	candidate_after_linter_fix
02_shell/src/info.rs	00_nucleo/prompts/shell/info.md	635e6f98	92a7d32a	d2942c4d	would_fix	yes	shared_prompt	blocked_multi_consumer
