probe_id	path	profile	previous_runtime_class	current_runtime_class	previous_projection	current_projection	transition	fixture_comparable	complete_literal_equal	universe	measurement_ref	previous_measurement_ref
p1326.with	p1326.with	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with	
p1326.with	p1326.with	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with	
p1326.with	p1326.with	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with	
p1326.with	p1326.with	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with	
p1326.nested-with	p1326.nested-with	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-with	
p1326.nested-with	p1326.nested-with	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-with	
p1326.nested-with	p1326.nested-with	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-with	
p1326.nested-with	p1326.nested-with	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-with	
p1326.unicode	p1326.unicode	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.unicode	
p1326.unicode	p1326.unicode	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.unicode	
p1326.unicode	p1326.unicode	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.unicode	
p1326.unicode	p1326.unicode	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.unicode	
p1326.multiline	p1326.multiline	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.multiline	
p1326.multiline	p1326.multiline	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.multiline	
p1326.multiline	p1326.multiline	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.multiline	
p1326.multiline	p1326.multiline	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.multiline	
p1326.callee	p1326.callee	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.callee	
p1326.callee	p1326.callee	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.callee	
p1326.callee	p1326.callee	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.callee	
p1326.callee	p1326.callee	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.callee	
p1326.with-callee	p1326.with-callee	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-callee	
p1326.with-callee	p1326.with-callee	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-callee	
p1326.with-callee	p1326.with-callee	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-callee	
p1326.with-callee	p1326.with-callee	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-callee	
p1326.call	p1326.call	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.call	
p1326.call	p1326.call	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.call	
p1326.call	p1326.call	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.call	
p1326.call	p1326.call	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.call	
p1326.with-call	p1326.with-call	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-call	
p1326.with-call	p1326.with-call	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-call	
p1326.with-call	p1326.with-call	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-call	
p1326.with-call	p1326.with-call	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.with-call	
p1326.nested-call	p1326.nested-call	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-call	
p1326.nested-call	p1326.nested-call	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-call	
p1326.nested-call	p1326.nested-call	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-call	
p1326.nested-call	p1326.nested-call	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.nested-call	
p1326.kind	p1326.kind	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.kind	
p1326.kind	p1326.kind	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.kind	
p1326.kind	p1326.kind	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.kind	
p1326.kind	p1326.kind	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.kind	
p1326.native-none	p1326.native-none	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-none	
p1326.native-none	p1326.native-none	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-none	
p1326.native-none	p1326.native-none	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-none	
p1326.native-none	p1326.native-none	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-none	
p1326.native-present	p1326.native-present	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-present	
p1326.native-present	p1326.native-present	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-present	
p1326.native-present	p1326.native-present	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-present	
p1326.native-present	p1326.native-present	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.native-present	
p1326.content	p1326.content	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.content	
p1326.content	p1326.content	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.content	
p1326.content	p1326.content	a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.content	
p1326.content	p1326.content	html+a11y	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.content	
p1326.pdf-gate	p1326.pdf-gate	default	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.pdf-gate	
p1326.pdf-gate	p1326.pdf-gate	html	NOT_IN_P1322	MATCH_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.pdf-gate	
p1326.pdf-gate	p1326.pdf-gate	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.pdf-gate	
p1326.pdf-gate	p1326.pdf-gate	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.pdf-gate	
p1326.argument-order-residual	closure.missing-field.callee	default	NOT_IN_P1322	DIFFERENT_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.argument-order-residual	
